source_page,page_num,title,image_url,detail_url,filename,save_path,download_status,has_people,has_plague_doctor,confidence,tags,reason,error
https://bridgemaneducation.com/en/search?filter_text=Black+Death,1,The Black Death,https://images-cdn.bridgemanimages.com/api/1.0/image/600wm.LAL.4209920.7055475/295845.jpg?old-wm,,bd_1_The_Black_Death.jpg,blackdeath_data\raw\bd_1_The_Black_Death.jpg,success,1,0,0.95,"['plague_doctor', 'beak_mask', 'medieval', 'costume', 'historical', 'physician', 'black_death', 'mask', 'robe', 'staff']",图像中有一个穿着黑色长袍和戴着鸟嘴面具的人物，符合'鸟嘴医生'的特征。,
https://bridgemaneducation.com/en/search?filter_text=Black+Death,1,"The Black Death, 1348 (engraving)",https://images-cdn.bridgemanimages.com/api/1.0/image/600wm.XJF.5727110.7055475/114096.jpg?old-wm,,bd_1_The_Black_Death__1348__engraving.jpg,blackdeath_data\raw\bd_1_The_Black_Death__1348__engraving.jpg,success,1,0,0.95,"['plague_doctor', 'beak_mask', 'medieval', 'costume', 'historical', 'physician', 'black_death', 'mask', 'robe', 'staff', 'crowd', 'indoor', 'outdoor']",图中有多个穿着古代服饰的人物，其中一人戴着鸟嘴形状的面具，符合'鸟嘴医生'的特征。,
https://bridgemaneducation.com/en/search?filter_text=Black+Death,1,The Black Death (gouache on paper),https://images-cdn.bridgemanimages.com/api/1.0/image/600wm.LAL.0036620.7055475/263121.jpg?old-wm,,bd_1_The_Black_Death__gouache_on_paper.jpg,blackdeath_data\raw\bd_1_The_Black_Death__gouache_on_paper.jpg,success,1,0,0.95,"['plague_doctor', 'beak_mask', 'medieval', 'costume', 'historical', 'physician', 'black_death', 'mask', 'robe', 'staff', 'crowd', 'indoor', 'outdoor']",图中有两个角色，一个穿着绿色衣服和靴子，另一个穿着蓝色衣服。穿绿色衣服的角色手持武器，而穿蓝色衣服的角色似乎在照顾躺在床上的人。这幅画描绘了一个中世纪场景，可能与瘟疫有关。,
https://bridgemaneducation.com/en/search?filter_text=Black+Death,1,The Black Death,https://images-cdn.bridgemanimages.com/api/1.0/image/600wm.LAL.4552230.7055475/319375.jpg?old-wm,,bd_1_The_Black_Death.jpg,blackdeath_data\raw\bd_1_The_Black_Death.jpg,success,1,0,0.95,"['plague_doctor', 'beak_mask', 'medieval', 'costume', 'historical', 'physician', 'black_death', 'mask', 'robe', 'staff']",图像中有一个穿着黑色长袍和戴着鸟嘴面具的人物，符合'鸟嘴医生'的特征。,
https://bridgemaneducation.com/en/search?filter_text=Black+Death,1,"Black Death at Tournai, 1349 (see also 33793)",https://images-cdn.bridgemanimages.com/api/1.0/image/600wm.XTD.600370.7055475/69827.jpg?old-wm,,bd_1_Black_Death_at_Tournai__1349__see_also_33793.jpg,blackdeath_data\raw\bd_1_Black_Death_at_Tournai__1349__see_also_33793.jpg,success,1,0,0.95,"['plague_doctor', 'beak_mask', 'medieval', 'costume', 'historical', 'physician', 'black_death', 'mask', 'robe', 'staff', 'crowd', 'indoor']",图中有多个穿着长袍和戴着面具的人物，符合'鸟嘴医生'的特征。,
https://bridgemaneducation.com/en/search?filter_text=Black+Death,1,"Plague, Black death",https://images-cdn.bridgemanimages.com/api/1.0/image/600wm.KWE.86502160.7055475/6117389.jpg?old-wm,,bd_1_Plague__Black_death.jpg,blackdeath_data\raw\bd_1_Plague__Black_death.jpg,success,1,0,0.95,"['plague_doctor', 'beak_mask', 'medieval', 'costume', 'historical', 'physician', 'black_death', 'mask', 'robe', 'staff', 'crowd', 'indoor', 'outdoor']",图中描绘了一位穿着长袍和戴着鸟嘴面具的医生形象，符合'鸟嘴医生'的特征。,
https://bridgemaneducation.com/en/search?filter_text=Black+Death,1,The Black Death (engraving),https://images-cdn.bridgemanimages.com/api/1.0/image/600wm.LLM.7899660.7055475/666808.jpg?old-wm,,bd_1_The_Black_Death__engraving.jpg,blackdeath_data\raw\bd_1_The_Black_Death__engraving.jpg,success,1,0,0.95,"['plague_doctor', 'beak_mask', 'medieval', 'costume', 'historical', 'physician', 'black_death', 'mask', 'robe', 'staff', 'crowd', 'indoor', 'outdoor']",图中有多个穿着深色衣服的人物，符合'黑死病医生'的特征。,
https://bridgemaneducation.com/en/search?filter_text=Black+Death,1,"An Illustration of the Black Death from the Toggenburg Bible, 1411 (parchment)",https://images-cdn.bridgemanimages.com/api/1.0/image/600wm.PFH.54497110.7055475/1176266.jpg?old-wm,,bd_1_An_Illustration_of_the_Black_Death_from_the_Toggenburg_Bible__1411__parchment.jpg,blackdeath_data\raw\bd_1_An_Illustration_of_the_Black_Death_from_the_Toggenburg_Bible__1411__parchment.jpg,success,1,0,0.95,"['plague_doctor', 'beak_mask', 'medieval', 'costume', 'historical', 'physician', 'black_death', 'mask', 'robe', 'staff']",图中有两个人物，一个穿着长袍和帽子，另一个戴着鸟嘴形状的面具。这幅画描绘的是中世纪时期的医生形象，通常被称为'鸟嘴医生'。,
https://bridgemaneducation.com/en/search?filter_text=Black+Death,1,The Black Death sweeps across Europe in the Middle Ages,https://images-cdn.bridgemanimages.com/api/1.0/image/600wm.LAL.8488920.7055475/295669.jpg?old-wm,,bd_1_The_Black_Death_sweeps_across_Europe_in_the_Middle_Ages.jpg,blackdeath_data\raw\bd_1_The_Black_Death_sweeps_across_Europe_in_the_Middle_Ages.jpg,success,1,0,0.95,"['plague_doctor', 'beak_mask', 'medieval', 'costume', 'historical', 'physician', 'black_death', 'mask', 'robe', 'staff', 'crowd']",图片中有多个穿着类似服装的人物，且有戴鸟嘴面具的角色。,
https://bridgemaneducation.com/en/search?filter_text=Black+Death,1,The Black Death (gouache on paper),https://images-cdn.bridgemanimages.com/api/1.0/image/600wm.LAL.5907270.7055475/723916.jpg?old-wm,,bd_1_The_Black_Death__gouache_on_paper.jpg,blackdeath_data\raw\bd_1_The_Black_Death__gouache_on_paper.jpg,success,1,0,0.95,"['plague_doctor', 'beak_mask', 'medieval', 'costume', 'historical', 'physician', 'black_death', 'mask', 'robe', 'staff', 'crowd', 'indoor', 'outdoor']",图中有两个角色，一个穿着绿色衣服和靴子，另一个穿着蓝色衣服。穿绿色衣服的角色手持武器，而穿蓝色衣服的角色似乎在照顾躺在床上的人。这幅画描绘了一个中世纪场景，可能与瘟疫有关。,
